2024-11-27 17:57:25,365 - User ID: 444444444, Workshop Name: Python, Location: Riyadh-Aziziyah-building 5, Reservation Date: 2025-01-02,Reservation Time:10:00AM, Status: Succeed
2024-11-27 17:57:34,147 - User ID: 444444444, Workshop Name: Java, Location: Jeddah-AlBalad-building 6, Reservation Date: 2025-01-03,Reservation Time:11:00AM, Status: Succeed
2024-11-27 22:56:40,466 - User ID: 444200934, Workshop Name: al, Location: al, Reservation Date: 20341110,Reservation Time:11:30, Status: Succeed
2024-11-27 22:56:51,799 - User ID: 444200934, Workshop Name: Python, Location: Riyadh-Aziziyah-building 5, Reservation Date: 2025-01-02,Reservation Time:10:00, Status: Succeed
2024-11-27 22:56:55,956 - User ID: 444200934, Workshop Name: Javascript, Location: Riyadh-AL Olaya-building 1, Reservation Date: 2025-01-10,Reservation Time:08:00, Status: Succeed
2024-11-27 23:25:37,202 - User ID: 444200934, Workshop Name: Javascript, Location: Riyadh-AL Olaya-building 1, Reservation Date: 2025-01-10,Reservation Time:8:00AM, Status: Succeed
2024-11-27 23:25:42,004 - User ID: 444200934, Workshop Name: 1, Location: 1, Reservation Date: 123,Reservation Time:111, Status: Succeed
2024-11-28 22:44:58,971 - User ID: 444200876, Workshop Name: C++, Location: Riyadh-AL Olaya-building 1, Reservation Date: 2025-01-09,Reservation Time:8:00AM, Status: Succeed
2024-11-28 22:45:05,190 - User ID: 444200876, Workshop Name: Java, Location: Jeddah-AlBalad-building 6, Reservation Date: 2025-01-03,Reservation Time:11:00, Status: Succeed
2024-11-28 22:45:13,499 - User ID: 444200876, Workshop Name: Java, Location: Jeddah-AlBalad-building 6, Reservation Date: 2025-01-03,Reservation Time:11:00, Status: Fail
2024-11-29 10:25:34,405 - User ID: 444200876, Workshop Name: Python, Location: Riyadh-Aziziyah-building 5, Reservation Date: 2025-01-02,Reservation Time:10:00AM, Status: Succeed
2024-11-29 10:25:37,812 - User ID: 444200876, Workshop Name: C++, Location: Riyadh-AL Olaya-building 1, Reservation Date: 2025-01-09,Reservation Time:8:00AM, Status: Fail
2024-11-29 10:25:46,525 - User ID: 444200876, Workshop Name: Java, Location: Jeddah-AlBalad-building 6, Reservation Date: 2025-01-03,Reservation Time:11:00, Status: Fail
